data,precipitacao_total,pressao_atm_media,temp_orvalho_media,temp_maxima,temp_media,temp_minima,umidade_relativa_media,umidade_relativa_minima,umidade_relativa_maxima,vento_vel_media,temp_media_lag1,temp_media_lag2,temp_media_lag3,temp_media_lag7,temp_minima_lag1,temp_minima_lag2,temp_minima_lag3,temp_minima_lag7,temp_maxima_lag1,temp_maxima_lag2,temp_maxima_lag3,temp_maxima_lag7,umidade_relativa_media_lag1,umidade_relativa_media_lag2,umidade_relativa_media_lag3,umidade_relativa_media_lag7,pressao_atm_media_lag1,pressao_atm_media_lag2,pressao_atm_media_lag3,pressao_atm_media_lag7
2014-01-08,2.2,962.2,18.5,32.9,27.2,22.8,61.2,32.0,5.6,0.6,26.5,26.5,25.6,26.0,22.4,20.9,21.6,23.1,34.1,32.3,31.2,32.3,63.0,65.2,71.5,78.8,962.5,963.2,964.2,960.7
2014-01-09,0.2,962.7,19.0,30.0,25.6,20.6,67.7,45.0,11.6,1.1,27.2,26.5,26.5,26.0,22.8,22.4,20.9,22.2,32.9,34.1,32.3,33.9,61.2,63.0,65.2,76.7,962.2,962.5,963.2,959.4
2014-01-10,0.0,961.9,17.7,34.9,28.6,23.8,54.5,27.0,6.8,1.2,25.6,27.2,26.5,26.6,20.6,22.8,22.4,24.1,30.0,32.9,34.1,32.9,67.7,61.2,63.0,72.4,962.7,962.2,962.5,960.3
2014-01-11,0.0,962.8,18.3,34.2,28.1,23.0,56.7,31.0,10.2,1.4,28.6,25.6,27.2,27.0,23.8,20.6,22.8,22.6,34.9,30.0,32.9,34.4,54.5,67.7,61.2,68.5,961.9,962.7,962.2,962.9
2014-01-12,0.0,965.1,19.7,32.8,25.3,22.8,72.3,46.0,18.8,1.5,28.1,28.6,25.6,25.6,23.0,23.8,20.6,21.6,34.2,34.9,30.0,31.2,56.7,54.5,67.7,71.5,962.8,961.9,962.7,964.2
2014-01-13,48.0,966.5,19.0,27.4,22.2,19.5,82.5,61.0,10.4,1.1,25.3,28.1,28.6,26.5,22.8,23.0,23.8,20.9,32.8,34.2,34.9,32.3,72.3,56.7,54.5,65.2,965.1,962.8,961.9,963.2
2014-01-14,19.8,966.3,18.5,29.6,24.1,20.2,72.5,50.0,7.0,1.0,22.2,25.3,28.1,26.5,19.5,22.8,23.0,22.4,27.4,32.8,34.2,34.1,82.5,72.3,56.7,63.0,966.5,965.1,962.8,962.5
2014-01-15,0.0,964.5,18.4,31.8,25.7,21.8,66.3,38.0,7.4,1.4,24.1,22.2,25.3,27.2,20.2,19.5,22.8,22.8,29.6,27.4,32.8,32.9,72.5,82.5,72.3,61.2,966.3,966.5,965.1,962.2
2014-01-16,18.0,964.1,19.8,27.9,24.2,20.6,77.6,54.0,7.5,0.9,25.7,24.1,22.2,25.6,21.8,20.2,19.5,20.6,31.8,29.6,27.4,30.0,66.3,72.5,82.5,67.7,964.5,966.3,966.5,962.7
2014-01-17,0.4,963.8,19.7,31.0,25.4,21.8,72.0,46.0,6.9,0.8,24.2,25.7,24.1,28.6,20.6,21.8,20.2,23.8,27.9,31.8,29.6,34.9,77.6,66.3,72.5,54.5,964.1,964.5,966.3,961.9
